step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
38,0,0.001,9.04426,2000,4.07642,3.94669,2.9742,4.21691,530.727,504.812,1910.62,1817.33,9.03906,1901.92,45.109,67.8666,765.625,765.625,0.229809,459.617,0.00548502,10.97,11.6464,23292.7,269.879,-0.652536,1.09823e-11,0.640981,3.73584,17640.3
39,0,0.001,9.70052,2000,4.01496,3.89997,2.93696,4.13938,529.941,502.473,1907.79,1808.9,9.50781,1843.15,44.8658,68.3914,765.625,765.625,0.227467,454.934,0.00467413,9.34825,11.9799,23959.7,269.316,-0.588002,-2.98813e-11,0.584896,2.57514,18084.2
40,0,0.001,9.9385,2000,4.27501,4.1312,3.10029,4.431,534.852,509.973,1925.47,1835.9,9.57812,1979.31,43.5265,65.1649,765.625,765.625,0.231041,462.082,0.00561801,11.236,11.1092,22218.4,271.855,-0.676701,-4.81255e-11,0.633425,2.40886,18525.5
41,0,0.001,10.3023,2000,4.31839,4.17529,3.15658,4.47351,539.984,514.613,1943.94,1852.61,10.3438,1978.32,41.5577,62.7862,765.625,765.625,0.231447,462.895,0.00575442,11.5088,10.8916,21783.2,274.43,-0.718858,3.25532e-12,0.605394,2.43707,18990.3
42,0,0.001,9.9599,2000,4.57215,4.40693,3.30373,4.75169,543.887,520.484,1957.99,1873.74,10.5312,2081.94,40.4077,60.2012,765.625,765.625,0.233914,467.828,0.00628577,12.5715,10.2031,20406.2,276.293,-0.758221,1.28659e-11,0.61094,2.40363,19442.1
43,0,0.001,9.02609,2000,4.65112,4.48742,3.32261,4.82892,548.398,524.793,1974.23,1889.25,10.8047,2089.47,38.6447,58.322,765.625,765.625,0.235385,470.77,0.00655462,13.1092,10.1257,20251.5,278.598,-0.789839,-5.06198e-11,0.588685,2.04217,19871.1
44,0,0.001,8.58035,2000,4.4963,4.34523,3.21213,4.66045,542.992,518,1954.77,1864.8,10.8047,2032.28,40.3012,60.9191,765.625,765.625,0.231988,463.977,0.00552431,11.0486,10.5796,21159.1,275.918,-0.708912,-2.70549e-11,0.576928,2.41384,20296.9
45,0,0.001,8.65556,2000,4.49131,4.34634,3.20638,4.64852,544.453,518.832,1960.03,1867.8,11.1953,2013.05,39.5126,60.2995,765.625,765.625,0.231428,462.855,0.0053125,10.625,10.6507,21301.5,276.676,-0.690712,3.18196e-11,0.552235,2.36793,20728.2
46,0,0.001,8.72923,2000,4.98417,4.79961,3.46037,5.1849,555.98,533.762,2001.53,1921.54,11.4531,2229.06,35.8726,54.2086,765.625,765.625,0.238248,476.496,0.00712248,14.245,9.47166,18943.3,282.363,-0.880156,-2.97352e-11,0.540874,2.23673,21142.9
47,0,0.001,8.95777,2000,5.30519,5.0956,3.59126,5.5343,561.723,540.574,2022.2,1946.07,12.3984,2423.19,33.9369,50.9601,765.625,765.625,0.239291,478.582,0.00717613,14.3523,8.83032,17660.6,285.312,-0.872037,-1.08231e-11,0.521999,2.70479,21562
