step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
47,0,0.001,12.3426,2000,4.61833,4.61833,3.86898,,607.1,595.847,2185.56,2145.05,0.75625,2073.86,20.5831,40.0633,778.75,782.5,0.296033,592.066,0.00688719,13.7744,19.475,38950,616.144,-0.68803,1.78176e-12,0.064563,3.3335,19491.2
48,0,0.001,12.4017,2000,4.69059,4.69059,3.80226,,622.241,609.722,2240.07,2195,1.08125,2017.02,14.0484,33.7807,778.75,782.5,0.302158,604.316,0.00753123,15.0625,19.7266,39453.2,631.288,-0.804686,1.69117e-11,0.0564742,3.31837,19915.4
49,0,0.001,12.4805,2000,4.662,4.662,3.7873,,623.178,610.975,2243.44,2199.51,1.03125,2056.18,13.6399,33.5256,778.75,782.5,0.302909,605.819,0.0075497,15.0994,19.8801,39760.2,632.184,-0.811048,-5.13475e-12,0.0546609,3.52364,20338.7
50,0,0.001,13.2551,2000,3.72508,3.72508,3.79768,,531.981,517.997,1915.13,1864.79,0.8375,1871.44,49.1214,70.7133,778.75,782.5,0.256905,513.809,0.00162958,3.25916,21.5853,43170.6,540.925,-0.0169834,3.4748e-12,0.0925954,5.27363,20774.2
51,0,0.001,12.3673,2000,4.71835,4.71835,3.81076,,623.734,611.675,2245.44,2202.03,0.8875,2051.49,12.9788,32.6015,778.75,782.5,0.303619,607.237,0.0074902,14.9804,19.617,39234.1,632.684,-0.79706,-1.96116e-12,0.0578292,3.28888,21198.9
52,0,0.001,12.6574,2000,4.48318,4.48318,3.8238,,607.112,594.556,2185.61,2140.4,0.95625,2010.04,20.7694,40.9639,778.75,782.5,0.294888,589.775,0.00628816,12.5763,20.1887,40377.4,616.031,-0.628558,-1.47001e-11,0.0659246,3.32878,21627.9
53,0,0.001,12.8653,2000,4.40711,4.40711,3.74289,,610.681,597.263,2198.45,2150.15,1.19375,1989.5,19.2534,40.0374,778.75,782.5,0.295647,591.294,0.00631064,12.6213,20.7779,41555.7,619.675,-0.687922,1.80834e-12,0.0539408,3.38263,22058.1
54,0,0.001,12.5347,2000,4.64169,4.64169,3.7831,,622.612,609.947,2241.4,2195.81,0.9875,2031.9,13.8174,33.8665,778.75,782.5,0.302505,605.009,0.00711478,14.2296,20.0432,40086.4,631.475,-0.772578,2.17681e-12,0.053809,3.29519,22488.7
55,0,0.001,12.3831,2000,4.72892,4.72892,3.81874,,623.566,611.587,2244.84,2201.72,1.10625,2069.6,12.9738,32.5829,778.75,782.5,0.303028,606.056,0.00709534,14.1907,19.6036,39207.3,632.612,-0.767997,2.36492e-12,0.0563331,3.30393,22913.4
56,0,0.001,12.6668,2000,4.55422,4.55422,3.77257,,620.375,607.875,2233.35,2188.35,0.86875,2020.6,14.8218,35.0804,778.75,782.5,0.301766,603.531,0.00687919,13.7584,20.2528,40505.6,629.35,-0.74413,1.17507e-12,0.0550179,3.35079,23344.5
