step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time,collisions_human
47,0,0.001,7.37558,2000,5.28122,4.84914,3.53746,5.5298,632.872,618.538,2278.34,2226.74,5.37812,2372.12,7.79614,25.7175,778.75,782.5,0.295823,591.647,0.000390597,0.781194,6.46721,12934.4,213.767,-0.188403,-1.10316e-11,0.14715,4.50034,,4.49062
48,0,0.001,7.43662,2000,5.27622,4.85376,3.47454,5.51871,631.855,617.219,2274.68,2221.99,5.41875,2372.02,8.08503,26.1665,778.75,782.5,0.295062,590.125,0.000152671,0.305343,6.50611,13012.2,213.427,-0.142848,-1.59656e-11,0.150367,4.54427,,4.49219
49,0,0.001,7.39213,2000,5.26546,4.82474,3.52861,5.51968,632.833,619.122,2278.2,2228.84,4.75625,2379.68,7.79925,25.7155,778.75,782.5,0.29767,595.341,0.000759078,1.51816,6.47851,12957,213.761,-0.214399,9.59835e-12,0.15128,7.25715,,3.97031
50,0,0.001,7.49343,2000,5.15896,4.70998,3.51822,5.41914,631.65,618.888,2273.94,2227.99,3.80938,2364.43,8.3145,26.3863,778.75,782.5,0.29992,599.841,0.00125079,2.50158,6.56437,13128.7,213.342,-0.260944,6.37075e-12,0.159439,7.44034,,3.27344
51,0,0.001,7.54984,2000,5.12326,4.6776,3.52472,5.38163,630.794,617.722,2270.86,2223.8,3.77813,2343.08,8.75433,26.908,778.75,782.5,0.299416,598.831,0.0010256,2.05121,6.59681,13193.6,213.075,-0.233454,-1.05121e-11,0.161646,4.96267,,3.26562
52,0,0.001,7.38156,2000,5.28731,4.83924,3.51779,5.54612,633.022,619.283,2278.88,2229.42,4.91875,2371.12,7.75361,25.5597,778.75,782.5,0.297345,594.689,0.000566676,1.13335,6.45164,12903.3,213.866,-0.20581,3.73231e-12,0.149796,4.66726,,4.15781
53,0,0.001,7.40816,2000,5.23365,4.78302,3.51824,5.49455,632.517,619.17,2277.06,2229.01,4.46563,2378.34,7.87683,25.8052,778.75,782.5,0.298421,596.842,0.000775332,1.55066,6.50285,13005.7,213.639,-0.220041,-4.46965e-12,0.153027,4.67447,,3.82656
54,0,0.001,7.41995,2000,5.16769,4.72028,3.52286,5.42686,632.225,619.542,2276.01,2230.35,3.575,2348.93,8.12937,26.2192,778.75,782.5,0.300834,601.667,0.00129692,2.59383,6.56679,13133.6,213.553,-0.261911,-2.3575e-11,0.155251,4.72763,,3.04375
55,0,0.001,7.40333,2000,5.26113,4.81355,3.53122,5.5198,633.688,619.895,2281.28,2231.62,4.34687,2325.24,7.3546,25.2136,778.75,782.5,0.29908,598.161,0.000841701,1.6834,6.47127,12942.5,214.022,-0.223058,-8.39183e-12,0.148396,7.06148,,3.64219
56,0,0.001,7.36056,2000,5.21046,4.76095,3.56787,5.47077,632.631,619.544,2277.47,2230.36,3.95312,2355.78,7.89216,25.7936,778.75,782.5,0.299889,599.778,0.000948318,1.89664,6.49787,12995.7,213.705,-0.238097,-4.223e-12,0.147429,4.70391,,3.38906
57,0,0.001,7.32494,2000,5.24768,4.81009,3.50908,5.5,633.372,619.966,2280.14,2231.88,4.47187,2362.08,7.49629,25.4598,778.75,782.5,0.298803,597.606,0.000676346,1.35269,6.49092,12981.8,213.92,-0.20335,7.35116e-13,0.148917,4.70668,,3.70156
58,0,0.001,7.35485,2000,5.20882,4.75948,3.51199,5.46911,632.975,620.219,2278.71,2232.79,3.89688,2386.76,7.77731,25.7476,778.75,782.5,0.300367,600.734,0.00103964,2.07929,6.51764,13035.3,213.741,-0.239549,-2.99831e-12,0.150501,4.79897,,3.30938
59,0,0.001,7.49184,2000,5.0416,4.59647,3.45974,5.30048,631.211,618.983,2272.36,2228.34,2.58438,2306.59,8.60149,27.0098,778.75,782.5,0.30303,606.061,0.00156187,3.12374,6.69476,13389.5,213.236,-0.276257,2.39842e-11,0.16378,7.00421,,2.275
60,0,0.001,7.48648,2000,5.0369,4.59595,3.43962,5.29286,631.033,618.781,2271.72,2227.61,2.6375,2305.88,8.71259,27.1722,778.75,782.5,0.302797,605.594,0.00145065,2.90129,6.7069,13413.8,213.137,-0.26581,-1.43157e-11,0.167809,5.05202,,2.29062
61,0,0.001,7.44406,2000,5.10204,4.66414,3.44004,5.35549,632.505,619.884,2277.02,2231.58,3.03125,2303.8,7.99893,26.3365,778.75,782.5,0.302364,604.728,0.00137886,2.75771,6.64929,13298.6,213.652,-0.266605,6.36966e-12,0.163407,4.82822,,2.58438
62,0,0.001,7.39872,2000,5.15933,4.71383,3.47738,5.41734,633.005,620.392,2278.82,2233.41,3.28125,2317.77,7.68222,25.811,778.75,782.5,0.301993,603.986,0.00125511,2.51023,6.57901,13158,213.869,-0.259227,-8.15526e-12,0.156336,4.99641,,2.82031
63,0,0.001,7.39804,2000,5.19166,4.74213,3.53423,5.45207,633.5,620.939,2280.6,2235.38,3.35,2352.82,7.68497,25.6821,778.75,782.5,0.302095,604.189,0.00124477,2.48953,6.53313,13066.2,213.923,-0.266186,-5.80285e-12,0.15252,7.24759,,2.84219
