step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
31,0,0.001,8.66116,2000,4.23645,4.06773,3.18586,4.42247,561.449,541.953,2021.22,1951.03,5.96875,2038.69,33.7912,54.9962,765.625,765.625,0.256055,512.109,0.0104666,20.9331,10.9428,21885.5,285.305,-1.23578,-1.90708e-11,0.512133,2.0835,11243.5
32,0,0.001,8.46399,2000,4.47857,4.29982,3.23342,4.67528,566.094,546.23,2037.94,1966.43,6.70312,2091.52,31.7474,52.2427,765.625,765.625,0.256357,512.715,0.0103533,20.7067,10.5742,21148.4,287.555,-1.26254,-7.37948e-12,0.481524,2.07587,11585.8
33,0,0.001,8.44362,2000,4.33788,4.15046,3.4235,4.54502,564.066,546.379,2030.64,1966.96,5.3125,2075.43,33.5772,53.8136,765.625,765.625,0.259908,519.816,0.010831,21.662,10.5059,21011.8,286.488,-1.27754,8.59314e-12,0.521917,2.00439,11923.3
34,0,0.001,8.25201,2000,4.50037,4.29323,3.4765,4.73055,564.262,547.734,2031.34,1971.84,5.26562,2164.3,33.8424,53.2845,765.625,765.625,0.260703,521.406,0.0106316,21.2632,10.1223,20244.6,286.688,-1.25039,-1.83166e-11,0.519707,2.03067,12256.8
35,0,0.001,8.08671,2000,4.79067,4.56802,3.45856,5.03849,570.727,554.211,2054.62,1995.16,6.10156,2244.89,30.5988,49.1822,765.625,765.625,0.261852,523.703,0.0107579,21.5158,9.676,19352,289.875,-1.27828,8.1448e-11,0.490319,2.00546,12593.5
36,0,0.001,8.35893,2000,4.65795,4.45195,3.32138,4.88673,570.172,553.137,2052.62,1991.29,5.67969,2190.7,30.3304,49.7098,765.625,765.625,0.262369,524.738,0.0104643,20.9286,10.0499,20099.8,289.637,-1.2242,2.23865e-11,0.479492,1.91053,12936.5
37,0,0.001,8.09127,2000,4.87363,4.64595,3.49547,5.12663,576.613,560.859,2075.81,2019.09,5.32031,2237.27,28.3318,46.6802,765.625,765.625,0.267129,534.258,0.0116554,23.3107,9.56171,19123.4,292.832,-1.37259,-1.08949e-11,0.474608,2.03367,13270.8
38,0,0.001,7.97002,2000,4.9225,4.68432,3.58875,5.18812,574.414,559.258,2067.89,2013.33,5.25,2219.81,29.6725,47.6192,765.625,765.625,0.266504,533.008,0.0111266,22.2532,9.37597,18751.9,291.688,-1.33165,2.43707e-11,0.474598,1.90757,13598.8
39,0,0.001,8.05801,2000,4.96617,4.74061,3.4651,5.21652,579.387,563.223,2085.79,2027.6,6.20312,2282.24,26.6633,45.0601,765.625,765.625,0.266104,532.207,0.0106966,21.3932,9.56343,19126.9,294.258,-1.29764,-3.3662e-11,0.437082,1.95822,13941
40,0,0.001,8.01162,2000,4.98452,4.74842,3.59059,5.24729,579.488,564.121,2086.16,2030.84,5.89844,2314.25,27.2707,45.1658,765.625,765.625,0.267314,534.629,0.010724,21.448,9.33546,18670.9,294.262,-1.30054,1.21001e-10,0.43278,1.89264,14275.9
41,0,0.001,8.14022,2000,4.90242,4.68401,3.35118,5.14524,573.965,556.805,2066.27,2004.5,6.17188,2215.91,28.5757,47.3477,765.625,765.625,0.262973,525.945,0.00898514,17.9703,9.73098,19462,291.371,-1.06009,2.52484e-11,0.411929,2.00329,14618.8
42,0,0.001,7.86228,2000,5.06077,4.81746,3.54239,5.33222,582.098,566.742,2095.55,2040.27,5.57812,2258.45,25.789,43.5102,765.625,765.625,0.269426,538.852,0.0107542,21.5084,9.24829,18496.6,295.527,-1.29694,9.44873e-11,0.425756,1.92011,14948.5
43,0,0.001,7.8682,2000,5.01655,4.77892,3.55363,5.28117,583.684,568.297,2101.26,2045.87,5.1875,2225.94,25.3655,43.3197,765.625,765.625,0.27118,542.359,0.0110216,22.0433,9.36244,18724.9,296.258,-1.31506,1.23396e-10,0.411137,2.01592,15280.7
44,0,0.001,7.84702,2000,5.01434,4.77173,3.56431,5.28487,582.695,568.629,2097.7,2047.06,4.71094,2271.19,25.7102,43.4852,765.625,765.625,0.272537,545.074,0.0109738,21.9477,9.2805,18561,295.898,-1.29591,-1.65895e-11,0.407574,2.3219,15610.4
45,0,0.001,7.72839,2000,5.05464,4.79636,3.67001,5.34401,576.391,563.445,2075.01,2028.4,4.25,2335.86,29.1938,46.4335,765.625,765.625,0.271098,542.195,0.0102299,20.4598,9.03392,18067.8,292.711,-1.22027,2.37913e-11,0.402371,2.64175,15934.4
