step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
31,0,0.001,11.3067,2000,3.07797,3.07797,3.65112,,525.988,509.203,1893.56,1833.13,0.117188,1665.52,50.3157,74.2102,765.625,765.625,0.254309,508.617,0.00998698,19.974,23.8862,47772.4,534.703,-0.962698,-7.41358e-12,0.216659,3.11847,14033.2
32,0,0.001,12.1539,2000,2.37638,2.37638,3.2578,,440.172,421.277,1584.62,1516.6,0.0703125,1507.1,89.8883,116.516,765.625,765.625,0.210463,420.926,-0.0033798,-6.7596,26.6185,53237,448.961,0.4788,-1.08503e-11,0.294569,3.08174,14463.5
33,0,0.001,13.1999,2000,2.35097,2.35097,2.74997,,474.332,449.758,1707.6,1619.13,1,1390.25,70.3783,100.145,765.625,765.625,0.222379,444.758,7.04431e-05,0.140886,29.7553,59510.7,482.953,0.153735,2.80864e-12,0.0730996,3.35303,14906
34,0,0.001,13.0591,2000,2.42827,2.42827,2.85127,,482.355,458.617,1736.48,1651.02,0.882812,1423.66,68.1369,97.3588,765.625,765.625,0.227102,454.203,0.0011634,2.32681,29.2105,58421,490.996,0.0347475,3.55692e-12,0.0842743,3.43315,15333.8
35,0,0.001,12.769,2000,2.49179,2.49179,2.95467,,486.398,463.844,1751.03,1669.84,0.578125,1442.03,66.4678,95.0557,765.625,765.625,0.230477,460.953,0.00176526,3.53052,28.5769,57153.8,495.137,-0.0292511,1.20537e-12,0.0967584,3.23279,15754.1
36,0,0.001,12.8739,2000,2.45772,2.45772,2.88161,,479.59,456.383,1726.52,1642.98,0.546875,1425.89,68.266,97.0596,765.625,765.625,0.226824,453.648,0.00110777,2.21554,28.7823,57564.5,488.227,0.0563362,-1.41759e-12,0.0861136,3.26471,16173.9
37,0,0.001,12.5916,2000,2.53997,2.53997,3.05379,,488.836,467.168,1759.81,1681.8,0.210938,1456.11,65.5567,93.5543,765.625,765.625,0.233057,466.113,0.0021149,4.2298,27.9868,55973.6,497.586,-0.0746109,-1.19395e-12,0.103171,5.13959,16596
38,0,0.001,12.6481,2000,2.53221,2.53221,3.03742,,488.633,466.453,1759.08,1679.23,0.367188,1458.4,65.7914,93.9402,765.625,765.625,0.232309,464.617,0.00198254,3.96508,28.1379,56275.7,497.348,-0.0517369,1.74228e-11,0.100752,3.22158,17009.5
39,0,0.001,12.6191,2000,2.54476,2.54476,3.08256,,490.266,468.879,1764.96,1687.96,0.257812,1479.37,64.8734,92.8391,765.625,765.625,0.233795,467.59,0.00217323,4.34647,27.9551,55910.2,498.996,-0.0808455,2.06485e-12,0.105958,3.20839,17433.2
40,0,0.001,12.7552,2000,2.53091,2.53091,2.97396,,489.5,467.051,1762.2,1681.38,0.8125,1477.85,65.0038,93.3383,765.625,765.625,0.231494,462.988,0.00187027,3.74055,28.3237,56647.4,498.125,-0.0355865,-1.97498e-11,0.102444,4.08432,17855.2
41,0,0.001,12.6297,2000,2.64689,2.64689,2.96888,,492.598,469.855,1773.35,1691.48,0.796875,1470.85,62.6911,90.7089,765.625,765.625,0.232936,465.871,0.00254488,5.08976,28.0067,56013.5,501.344,-0.0640059,-5.53347e-12,0.109585,3.75756,18283.8
42,0,0.001,84.2622,2000,2.68913,2.68913,3.0368,,498.906,476.312,1796.06,1714.72,0.453125,1470.86,59.4672,87.272,765.625,765.625,0.237023,474.047,0.00343356,6.86711,27.7937,55587.5,507.613,-0.153336,-9.01762e-12,0.126499,5.51367,21578.9
43,0,0.001,12.6539,2000,2.83189,2.83189,3.21292,,506.059,484.93,1821.81,1745.75,0.484375,1538.32,56.6799,83.3033,765.625,765.625,0.241254,482.508,0.00470342,9.40684,26.613,53226,514.82,-0.300243,6.76447e-12,0.146813,3.46146,22051
44,0,0.001,12.5942,2000,2.78844,2.78844,3.26507,,504.383,483.266,1815.78,1739.76,0.335938,1509.77,57.429,83.9783,765.625,765.625,0.240793,481.586,0.00448128,8.96256,26.5389,53077.8,513.062,-0.283638,-1.06284e-11,0.141932,3.17385,22513.9
