step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
62,0,0.001,8.32634,2000,5.91689,5.59614,3.58053,6.27974,635.306,625.848,2287.1,2253.05,2.19062,2594.83,6.8233,23.1115,778.75,782.5,0.307448,614.895,0.00124819,2.49637,8.55505,17110.1,322.183,-0.288027,-2.44144e-14,0.0928252,4.73933,69234.7
63,0,0.001,8.35321,2000,5.92238,5.60253,3.56953,6.28408,635.375,625.645,2287.35,2252.32,2.25312,2574.07,6.65729,22.976,778.75,782.5,0.30719,614.38,0.00115421,2.30843,8.56686,17133.7,322.259,-0.273743,-5.28317e-13,0.0927639,6.2625,70413.6
64,0,0.001,8.34369,2000,5.92617,5.60694,3.56575,6.28704,635.542,625.891,2287.95,2253.21,2.18125,2572.68,6.64821,22.9818,778.75,782.5,0.307492,614.984,0.00123016,2.46032,8.57319,17146.4,322.328,-0.274042,1.17208e-11,0.0927602,5.98387,71598.8
65,0,0.001,8.38898,2000,5.90659,5.59178,3.52781,6.26241,633.355,623.367,2280.08,2244.12,2.5,2572.91,7.48211,23.9959,778.75,782.5,0.305434,610.867,0.00053247,1.06494,8.65525,17310.5,321.306,-0.19172,-8.59829e-12,0.0928791,5.15496,72778.9
66,0,0.001,8.39317,2000,5.89778,5.58245,3.54844,6.25405,634.531,624.631,2284.31,2248.67,2.22187,2554.87,6.86511,23.336,778.75,782.5,0.306761,613.522,0.000910381,1.82076,8.63716,17274.3,321.828,-0.235367,6.85881e-13,0.0926371,4.77753,73961.4
67,0,0.001,8.43909,2000,5.86181,5.54998,3.52173,6.21429,632.57,622.2,2277.25,2239.92,2.45312,2555.47,7.60361,24.2462,778.75,782.5,0.304967,609.934,0.000347782,0.695564,8.71969,17439.4,320.808,-0.15886,-2.04804e-12,0.0929862,5.07001,75150.4
68,0,0.001,8.44223,2000,5.84701,5.53041,3.53194,6.20536,633.839,624.402,2281.82,2247.85,1.825,2561.94,7.17821,23.7713,778.75,782.5,0.307638,615.277,0.00117624,2.35248,8.7049,17409.8,321.494,-0.251994,-5.52305e-13,0.094173,7.28948,76335.4
69,0,0.001,8.42631,2000,5.86512,5.54619,3.5522,6.2263,634.556,625.309,2284.4,2251.11,1.74687,2560,7.00517,23.4875,778.75,782.5,0.308287,616.575,0.00139436,2.78872,8.6528,17305.6,321.913,-0.277404,-1.62553e-12,0.0917068,5.38097,77525.1
70,0,0.001,8.42627,2000,5.89114,5.57377,3.56208,6.25005,634.752,625.278,2285.11,2251,2.0875,2581.57,6.8489,23.2975,778.75,782.5,0.30742,614.841,0.00114688,2.29375,8.62997,17259.9,321.97,-0.259996,-1.25582e-11,0.0910043,4.8491,78719.8
71,0,0.001,8.43966,2000,5.88168,5.56197,3.56754,6.24356,634.947,625.944,2285.81,2253.4,1.73125,2581.93,6.8475,23.2749,778.75,782.5,0.308644,617.288,0.00147313,2.94626,8.62404,17248.1,322.087,-0.286424,-1.84038e-13,0.0903503,4.89813,79901.7
72,0,0.001,8.44322,2000,5.87256,5.55574,3.53086,6.23111,633.695,624.15,2281.3,2246.94,1.93125,2548.64,7.3511,23.9216,778.75,782.5,0.307247,614.494,0.00101963,2.03926,8.6903,17380.6,321.473,-0.227503,1.31354e-11,0.0918307,6.08696,81108.8
73,0,0.001,8.52406,2000,5.84005,5.52911,3.50714,6.19131,631.18,620.825,2272.25,2234.97,2.325,2534.43,8.11266,24.8464,778.75,782.5,0.3046,609.2,0.000131411,0.262822,8.76669,17533.4,320.123,-0.126859,-1.45334e-11,0.0928976,7.18139,82305.5
74,0,0.001,8.38931,2000,5.94892,5.63047,3.58221,6.30872,635.516,625.841,2287.86,2253.03,2.47812,2591.55,6.67386,22.999,778.75,782.5,0.306725,613.45,0.000855227,1.71045,8.56458,17129.2,322.389,-0.250163,3.56476e-12,0.0866424,4.83681,83492.6
75,0,0.001,8.3758,2000,5.94998,5.62826,3.58214,6.31384,636.494,626.866,2291.38,2256.72,2.2625,2587.19,6.2639,22.5309,778.75,782.5,0.307777,615.553,0.00120584,2.41168,8.54151,17083,322.841,-0.282088,-1.34385e-12,0.0864723,4.95241,84686.4
76,0,0.001,8.42975,2000,5.89423,5.57557,3.54065,6.25482,634.942,625.225,2285.79,2250.81,2.19375,2569.14,6.721,23.1753,778.75,782.5,0.307128,614.256,0.000974504,1.94901,8.63694,17273.9,322.028,-0.241803,-1.16512e-11,0.0898402,6.28888,85881.1
77,0,0.001,8.43964,2000,5.90425,5.58416,3.56433,6.26634,635.27,626.003,2286.97,2253.61,1.8375,2578.81,6.70051,23.0956,778.75,782.5,0.308408,616.816,0.00136431,2.72863,8.60672,17213.4,322.205,-0.276554,-1.05842e-12,0.0857375,5.38573,87076.9
78,0,0.001,8.4342,2000,5.88083,5.55882,3.58204,6.24555,635.409,626.167,2287.47,2254.2,1.7375,2577.42,6.70686,23.0765,778.75,782.5,0.30874,617.48,0.00146942,2.93884,8.60117,17202.3,322.228,-0.29308,-1.62186e-12,0.0852524,6.45498,88280.6
79,0,0.001,8.40017,2000,5.88465,5.56379,3.59298,6.24769,635.436,626.528,2287.57,2255.5,1.69375,2598.91,6.70974,23.0618,778.75,782.5,0.30903,618.059,0.00155063,3.10125,8.59114,17182.3,322.28,-0.294746,1.93247e-11,0.0844737,4.91359,89477.1
80,0,0.001,8.40048,2000,5.94806,5.62596,3.6095,6.31227,636.211,627.003,2290.36,2257.21,2.05,2595.47,6.39048,22.623,778.75,782.5,0.308377,616.753,0.00131907,2.63815,8.52358,17047.2,322.764,-0.288139,-7.09998e-13,0.0816569,6.51008,90676.4
81,0,0.001,8.3786,2000,5.97178,5.65177,3.61821,6.3331,636.211,626.695,2290.36,2256.1,2.37812,2604.88,6.39356,22.5878,778.75,782.5,0.307402,614.805,0.000953175,1.90635,8.49969,16999.4,322.672,-0.265147,-3.40382e-12,0.0804105,5.36022,91878.5
82,0,0.001,8.43402,2000,5.95434,5.63933,3.54096,6.3099,633.903,623.236,2282.05,2243.65,3.0125,2551.15,7.05379,23.4708,778.75,782.5,0.304087,608.173,-0.000172344,-0.344688,8.60406,17208.1,321.505,-0.141224,-3.26437e-12,0.0851155,4.98796,93078.6
83,0,0.001,8.43201,2000,5.95708,5.63651,3.57659,6.31943,636.059,626.498,2289.81,2255.39,2.2375,2584.8,6.43162,22.7179,778.75,782.5,0.307655,615.311,0.00105256,2.10512,8.54586,17091.7,322.583,-0.258059,3.04015e-12,0.0839739,6.28936,94273.7
84,0,0.001,8.4767,2000,5.88263,5.5654,3.52312,6.24167,633.217,623.455,2279.58,2244.44,2.0875,2561.28,7.33547,23.9244,778.75,782.5,0.306509,613.017,0.00063103,1.26206,8.69895,17397.9,321.228,-0.18598,-1.15792e-11,0.0860543,6.37682,95483.7
85,0,0.001,8.48781,2000,5.87942,5.56481,3.50256,6.23526,631.413,620.997,2273.09,2235.59,2.725,2566.45,8.00795,24.6414,778.75,782.5,0.303686,607.372,-0.000245837,-0.491675,8.71535,17430.7,320.325,-0.092734,1.60922e-11,0.0863917,5.38741,96694.1
